Statement,Suspiciousness
org.apache.commons.math.util.MathUtils#47,0
org.apache.commons.math.util.MathUtils#57,0
org.apache.commons.math.util.MathUtils#68,0
org.apache.commons.math.util.MathUtils#91,0
org.apache.commons.math.util.MathUtils#113,0
org.apache.commons.math.util.MathUtils#114,0
org.apache.commons.math.util.MathUtils#128,0
org.apache.commons.math.util.MathUtils#130,0
org.apache.commons.math.util.MathUtils#131,0
org.apache.commons.math.util.MathUtils#133,0
org.apache.commons.math.util.MathUtils#135,0
org.apache.commons.math.util.MathUtils#150,0
org.apache.commons.math.util.MathUtils#152,0
org.apache.commons.math.util.MathUtils#153,0
org.apache.commons.math.util.MathUtils#155,0
org.apache.commons.math.util.MathUtils#157,0
org.apache.commons.math.util.MathUtils#172,0
org.apache.commons.math.util.MathUtils#174,0
org.apache.commons.math.util.MathUtils#175,0
org.apache.commons.math.util.MathUtils#177,0
org.apache.commons.math.util.MathUtils#179,0
org.apache.commons.math.util.MathUtils#194,0
org.apache.commons.math.util.MathUtils#196,0
org.apache.commons.math.util.MathUtils#197,0
org.apache.commons.math.util.MathUtils#199,0
org.apache.commons.math.util.MathUtils#201,0
org.apache.commons.math.util.MathUtils#212,0
org.apache.commons.math.util.MathUtils#213,0
org.apache.commons.math.util.MathUtils#215,0
org.apache.commons.math.util.MathUtils#225,0
org.apache.commons.math.util.MathUtils#226,0
org.apache.commons.math.util.MathUtils#227,0
org.apache.commons.math.util.MathUtils#228,0
org.apache.commons.math.util.MathUtils#231,0
org.apache.commons.math.util.MathUtils#244,0.00859771812451136
org.apache.commons.math.util.MathUtils#245,0.0
org.apache.commons.math.util.MathUtils#247,0.00859771812451136
org.apache.commons.math.util.MathUtils#257,0.0
org.apache.commons.math.util.MathUtils#258,0
org.apache.commons.math.util.MathUtils#260,0.0
org.apache.commons.math.exception.MathArithmeticException#43,0
org.apache.commons.math.exception.MathArithmeticException#44,0
org.apache.commons.math.exception.MathArithmeticException#45,0
org.apache.commons.math.exception.MathArithmeticException#46,0
org.apache.commons.math.exception.MathArithmeticException#56,0
org.apache.commons.math.exception.MathArithmeticException#57,0
org.apache.commons.math.exception.MathArithmeticException#58,0
org.apache.commons.math.exception.MathArithmeticException#59,0
org.apache.commons.math.exception.MathArithmeticException#63,0
org.apache.commons.math.exception.MathArithmeticException#69,0
org.apache.commons.math.exception.MathArithmeticException#75,0
org.apache.commons.math.exception.NullArgumentException#41,0.0
org.apache.commons.math.exception.NullArgumentException#42,0.0
org.apache.commons.math.exception.NullArgumentException#50,0.0
org.apache.commons.math.exception.NullArgumentException#51,0.0
org.apache.commons.math.exception.MathIllegalArgumentException#44,0.0
org.apache.commons.math.exception.MathIllegalArgumentException#45,0.0
org.apache.commons.math.exception.MathIllegalArgumentException#46,0.0
org.apache.commons.math.exception.MathIllegalArgumentException#47,0.0
org.apache.commons.math.exception.MathIllegalArgumentException#51,0
org.apache.commons.math.exception.MathIllegalArgumentException#57,0
org.apache.commons.math.exception.MathIllegalArgumentException#63,0
org.apache.commons.math.exception.NotFiniteNumberException#40,0
org.apache.commons.math.exception.NotFiniteNumberException#41,0
org.apache.commons.math.exception.NotFiniteNumberException#53,0
org.apache.commons.math.exception.NotFiniteNumberException#54,0
org.apache.commons.math.exception.MathIllegalNumberException#46,0.0
org.apache.commons.math.exception.MathIllegalNumberException#47,0.0
org.apache.commons.math.exception.MathIllegalNumberException#48,0.0
org.apache.commons.math.exception.MathIllegalNumberException#54,0
org.apache.commons.math.fraction.BigFraction#107,0.0
org.apache.commons.math.fraction.BigFraction#108,0.0
org.apache.commons.math.fraction.BigFraction#119,0.00859771812451136
org.apache.commons.math.fraction.BigFraction#120,0.00859771812451136
org.apache.commons.math.fraction.BigFraction#121,0.00859771812451136
org.apache.commons.math.fraction.BigFraction#122,0.00859771812451136
org.apache.commons.math.fraction.BigFraction#123,0.0
org.apache.commons.math.fraction.BigFraction#125,0.00859771812451136
org.apache.commons.math.fraction.BigFraction#126,0.00859771812451136
org.apache.commons.math.fraction.BigFraction#127,0.00859771812451136
org.apache.commons.math.fraction.BigFraction#131,0.00859771812451136
org.apache.commons.math.fraction.BigFraction#132,0.00859771812451136
org.apache.commons.math.fraction.BigFraction#133,0.00859771812451136
org.apache.commons.math.fraction.BigFraction#134,0.00859771812451136
org.apache.commons.math.fraction.BigFraction#138,0.00859771812451136
org.apache.commons.math.fraction.BigFraction#139,0.0
org.apache.commons.math.fraction.BigFraction#140,0.0
org.apache.commons.math.fraction.BigFraction#144,0.00859771812451136
org.apache.commons.math.fraction.BigFraction#145,0.00859771812451136
org.apache.commons.math.fraction.BigFraction#148,0.00859771812451136
org.apache.commons.math.fraction.BigFraction#171,0.0
org.apache.commons.math.fraction.BigFraction#172,0.0
org.apache.commons.math.fraction.BigFraction#173,0.0
org.apache.commons.math.fraction.BigFraction#175,0.0
org.apache.commons.math.fraction.BigFraction#176,0.0
org.apache.commons.math.fraction.BigFraction#180,0.0
org.apache.commons.math.fraction.BigFraction#181,0.0
org.apache.commons.math.fraction.BigFraction#182,0.0
org.apache.commons.math.fraction.BigFraction#183,0.0
org.apache.commons.math.fraction.BigFraction#184,0.0
org.apache.commons.math.fraction.BigFraction#186,0.0
org.apache.commons.math.fraction.BigFraction#188,0.0
org.apache.commons.math.fraction.BigFraction#189,0.0
org.apache.commons.math.fraction.BigFraction#191,0.0
org.apache.commons.math.fraction.BigFraction#192,0.0
org.apache.commons.math.fraction.BigFraction#193,0.0
org.apache.commons.math.fraction.BigFraction#194,0.0
org.apache.commons.math.fraction.BigFraction#197,0.0
org.apache.commons.math.fraction.BigFraction#198,0.0
org.apache.commons.math.fraction.BigFraction#199,0.0
org.apache.commons.math.fraction.BigFraction#201,0.0
org.apache.commons.math.fraction.BigFraction#202,0.0
org.apache.commons.math.fraction.BigFraction#205,0.0
org.apache.commons.math.fraction.BigFraction#231,0.0
org.apache.commons.math.fraction.BigFraction#232,0.0
org.apache.commons.math.fraction.BigFraction#270,0.0
org.apache.commons.math.fraction.BigFraction#271,0.0
org.apache.commons.math.fraction.BigFraction#272,0.0
org.apache.commons.math.fraction.BigFraction#273,0.0
org.apache.commons.math.fraction.BigFraction#274,0.0
org.apache.commons.math.fraction.BigFraction#275,0.0
org.apache.commons.math.fraction.BigFraction#280,0.0
org.apache.commons.math.fraction.BigFraction#281,0.0
org.apache.commons.math.fraction.BigFraction#282,0.0
org.apache.commons.math.fraction.BigFraction#283,0.0
org.apache.commons.math.fraction.BigFraction#286,0.0
org.apache.commons.math.fraction.BigFraction#287,0.0
org.apache.commons.math.fraction.BigFraction#288,0.0
org.apache.commons.math.fraction.BigFraction#289,0.0
org.apache.commons.math.fraction.BigFraction#291,0.0
org.apache.commons.math.fraction.BigFraction#292,0.0
org.apache.commons.math.fraction.BigFraction#294,0.0
org.apache.commons.math.fraction.BigFraction#295,0.0
org.apache.commons.math.fraction.BigFraction#297,0.0
org.apache.commons.math.fraction.BigFraction#298,0.0
org.apache.commons.math.fraction.BigFraction#299,0.0
org.apache.commons.math.fraction.BigFraction#300,0.0
org.apache.commons.math.fraction.BigFraction#301,0.0
org.apache.commons.math.fraction.BigFraction#302,0.0
org.apache.commons.math.fraction.BigFraction#303,0.0
org.apache.commons.math.fraction.BigFraction#306,0.0
org.apache.commons.math.fraction.BigFraction#307,0.0
org.apache.commons.math.fraction.BigFraction#310,0.0
org.apache.commons.math.fraction.BigFraction#311,0.0
org.apache.commons.math.fraction.BigFraction#312,0.0
org.apache.commons.math.fraction.BigFraction#313,0.0
org.apache.commons.math.fraction.BigFraction#314,0.0
org.apache.commons.math.fraction.BigFraction#315,0.0
org.apache.commons.math.fraction.BigFraction#317,0.0
org.apache.commons.math.fraction.BigFraction#319,0.0
org.apache.commons.math.fraction.BigFraction#321,0.0
org.apache.commons.math.fraction.BigFraction#322,0.0
org.apache.commons.math.fraction.BigFraction#325,0.0
org.apache.commons.math.fraction.BigFraction#326,0.0
org.apache.commons.math.fraction.BigFraction#327,0.0
org.apache.commons.math.fraction.BigFraction#329,0.0
org.apache.commons.math.fraction.BigFraction#330,0.0
org.apache.commons.math.fraction.BigFraction#332,0.0
org.apache.commons.math.fraction.BigFraction#353,0.0
org.apache.commons.math.fraction.BigFraction#354,0.0
org.apache.commons.math.fraction.BigFraction#366,0.00859771812451136
org.apache.commons.math.fraction.BigFraction#367,0.00859771812451136
org.apache.commons.math.fraction.BigFraction#381,0.00859771812451136
org.apache.commons.math.fraction.BigFraction#382,0.00859771812451136
org.apache.commons.math.fraction.BigFraction#393,0.0
org.apache.commons.math.fraction.BigFraction#394,0.0
org.apache.commons.math.fraction.BigFraction#408,0.0
org.apache.commons.math.fraction.BigFraction#409,0.0
org.apache.commons.math.fraction.BigFraction#44,0.00859771812451136
org.apache.commons.math.fraction.BigFraction#47,0.00859771812451136
org.apache.commons.math.fraction.BigFraction#50,0.00859771812451136
org.apache.commons.math.fraction.BigFraction#53,0.00859771812451136
org.apache.commons.math.fraction.BigFraction#56,0.00859771812451136
org.apache.commons.math.fraction.BigFraction#59,0.00859771812451136
