project_id	bug_id	rank_mean_best	rank_min_best	rank_max_best	rank_mean_average	rank_min_average	rank_max_average	rank_mean_worst	rank_min_worst	rank_max_worst	exam_mean_best	exam_min_best	exam_max_best	exam_mean_average	exam_min_average	exam_max_average	exam_mean_worst	exam_min_worst	exam_max_worst
Chart	1	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	0.0031652724395206874	0.0031652724395206874	0.0031652724395206874	0.0031652724395206874	0.0031652724395206874	0.0031652724395206874	0.0031652724395206874	0.0031652724395206874	0.0031652724395206874
Chart	11	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	0.016556291390728478	0.016556291390728478	0.016556291390728478	0.016556291390728478	0.016556291390728478	0.016556291390728478	0.016556291390728478	0.016556291390728478	0.016556291390728478
Chart	12	312.0	312.0	312.0	312.0	312.0	312.0	312.0	312.0	312.0	0.034875922199865864	0.034875922199865864	0.034875922199865864	0.034875922199865864	0.034875922199865864	0.034875922199865864	0.034875922199865864	0.034875922199865864	0.034875922199865864
Chart	14	5.0	5.0	8.0	25.0	20.0	29.0	335.5	335.5	335.5	0.00043099732781656753	0.00043099732781656753	0.000689595724506508	0.0007757951900698216	0.000689595724506508	0.001034393586759762	0.008156624428928541	0.008005775364192742	0.008372123092836824
Chart	15	16.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0	0.0006914732702363975	0.0006914732702363975	0.0006914732702363975	0.0006914732702363975	0.0006914732702363975	0.0006914732702363975	0.0006914732702363975	0.0006914732702363975	0.0006914732702363975
Chart	16	5.0	5.0	5.0	12.0	12.0	11.0	14.0	14.0	13.0	0.007621951219512195	0.007621951219512195	0.007621951219512195	0.007621951219512195	0.007621951219512195	0.007621951219512195	0.015752032520325206	0.015752032520325206	0.014735772357723576
Chart	17	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	0.002300966405890474	0.002300966405890474	0.002300966405890474	0.002300966405890474	0.002300966405890474	0.002300966405890474	0.002300966405890474	0.002300966405890474	0.002300966405890474
Chart	18	3.0	3.0	4.0	9.0	8.0	7.0	17.0	14.0	16.0	0.004005340453938585	0.004005340453938585	0.0053404539385847796	0.005785491766800177	0.005785491766800177	0.006675567423230975	0.010680907877169559	0.009568313306631064	0.010013351134846462
Chart	19	1.0	1.0	1.0	24.0	23.0	25.0	24.0	23.0	25.0	0.00011810558639423645	0.00011810558639423645	0.00011810558639423645	0.00011810558639423645	0.00011810558639423645	0.00011810558639423645	0.0014763198299279556	0.0014172670367308374	0.0015353726231250738
Chart	2	50.0	48.0	51.0	115.5	115.5	115.5	115.5	115.5	115.5	0.019880715705765408	0.019085487077534793	0.020278330019880716	0.028561961563949634	0.028031809145129226	0.02882703777335984	0.03724320742213386	0.036978131212723656	0.03737574552683896
Chart	20	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	0.011351909184726523	0.011351909184726523	0.011351909184726523	0.011351909184726523	0.011351909184726523	0.011351909184726523	0.011351909184726523	0.011351909184726523	0.011351909184726523
Chart	21	10.0	10.0	10.0	82.5	82.5	82.5	82.5	82.5	82.5	0.008431703204047217	0.008431703204047217	0.008431703204047217	0.008431703204047217	0.008431703204047217	0.008431703204047217	0.038996627318718384	0.038996627318718384	0.038996627318718384
