project_id	bug_id	rank_mean_best	rank_min_best	rank_max_best	rank_mean_average	rank_min_average	rank_max_average	rank_mean_worst	rank_min_worst	rank_max_worst	exam_mean_best	exam_min_best	exam_max_best	exam_mean_average	exam_min_average	exam_max_average	exam_mean_worst	exam_min_worst	exam_max_worst
Chart	1	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	0.0031652724395206874	0.0031652724395206874	0.0031652724395206874	0.0031652724395206874	0.0031652724395206874	0.0031652724395206874	0.0031652724395206874	0.0031652724395206874	0.0031652724395206874
Chart	10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0070921985815602835	0.0070921985815602835	0.0070921985815602835	0.0070921985815602835	0.0070921985815602835	0.0070921985815602835	0.0070921985815602835	0.0070921985815602835	0.0070921985815602835
Chart	11	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	0.016556291390728478	0.016556291390728478	0.016556291390728478	0.016556291390728478	0.016556291390728478	0.016556291390728478	0.016556291390728478	0.016556291390728478	0.016556291390728478
Chart	12	312.0	312.0	312.0	312.0	312.0	312.0	312.0	312.0	312.0	0.034875922199865864	0.034875922199865864	0.034875922199865864	0.034875922199865864	0.034875922199865864	0.034875922199865864	0.034875922199865864	0.034875922199865864	0.034875922199865864
Chart	13	21.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0	0.012188044109112013	0.012188044109112013	0.012188044109112013	0.012188044109112013	0.012188044109112013	0.012188044109112013	0.012188044109112013	0.012188044109112013	0.012188044109112013
Chart	14	5.0	5.0	8.0	25.0	20.0	29.0	335.5	335.5	335.5	0.00043099732781656753	0.00043099732781656753	0.000689595724506508	0.0021549866390828377	0.0017239893112662701	0.0024997845013360917	0.028919920696491682	0.028919920696491682	0.028919920696491682
Chart	15	16.0	16.0	16.0	16.0	16.0	16.0	6614.0	6614.0	6614.0	0.0006914732702363975	0.0006914732702363975	0.0006914732702363975	0.0006914732702363975	0.0006914732702363975	0.0006914732702363975	0.2858377630839708	0.2858377630839708	0.2858377630839708
Chart	16	5.0	5.0	5.0	12.0	12.0	11.0	14.0	14.0	13.0	0.007621951219512195	0.007621951219512195	0.007621951219512195	0.018292682926829267	0.018292682926829267	0.01676829268292683	0.021341463414634148	0.021341463414634148	0.019817073170731708
Chart	17	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	0.002300966405890474	0.002300966405890474	0.002300966405890474	0.002300966405890474	0.002300966405890474	0.002300966405890474	0.002300966405890474	0.002300966405890474	0.002300966405890474
Chart	18	3.0	3.0	4.0	9.0	8.0	7.0	17.0	14.0	16.0	0.004005340453938585	0.004005340453938585	0.0053404539385847796	0.012016021361815754	0.010680907877169559	0.009345794392523364	0.022696929238985315	0.018691588785046728	0.021361815754339118
Chart	19	1.0	1.0	1.0	24.0	23.0	25.0	24.0	23.0	25.0	0.00011810558639423645	0.00011810558639423645	0.00011810558639423645	0.0028345340734616748	0.0027164284870674384	0.002952639659855911	0.0028345340734616748	0.0027164284870674384	0.002952639659855911
Chart	2	50.0	48.0	51.0	115.5	115.5	115.5	1338.5	1338.5	1338.5	0.019880715705765408	0.019085487077534793	0.020278330019880716	0.04592445328031809	0.04592445328031809	0.04592445328031809	0.53220675944334	0.53220675944334	0.53220675944334
Chart	20	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	0.011351909184726523	0.011351909184726523	0.011351909184726523	0.011351909184726523	0.011351909184726523	0.011351909184726523	0.011351909184726523	0.011351909184726523	0.011351909184726523
Chart	21	10.0	10.0	10.0	82.5	82.5	82.5	82.5	82.5	82.5	0.008431703204047217	0.008431703204047217	0.008431703204047217	0.06956155143338955	0.06956155143338955	0.06956155143338955	0.06956155143338955	0.06956155143338955	0.06956155143338955
Chart	22	5.0	5.0	5.0	10.0	9.0	11.0	78.5	78.5	78.5	0.011904761904761904	0.011904761904761904	0.011904761904761904	0.023809523809523808	0.02142857142857143	0.02619047619047619	0.1869047619047619	0.1869047619047619	0.1869047619047619
Chart	23	4420.5	4420.5	4420.5	4420.5	4420.5	4420.5	4420.5	4420.5	4420.5	0.5164135514018692	0.5164135514018692	0.5164135514018692	0.5164135514018692	0.5164135514018692	0.5164135514018692	0.5164135514018692	0.5164135514018692	0.5164135514018692
Chart	24	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	0.06153846153846154	0.06153846153846154	0.06153846153846154	0.06153846153846154	0.06153846153846154	0.06153846153846154	0.06153846153846154	0.06153846153846154	0.06153846153846154
Chart	25	3.0	3.0	3.0	1731.5	1731.5	1731.5	1731.5	1731.5	1731.5	0.00013986013986013986	0.00013986013986013986	0.00013986013986013986	0.08072261072261072	0.08072261072261072	0.08072261072261072	0.08072261072261072	0.08072261072261072	0.08072261072261072
Chart	26	51.0	50.0	71.0	51.0	50.0	71.0	51.0	50.0	71.0	0.0012888877656751496	0.0012636154565442645	0.0017943339482928554	0.0012888877656751496	0.0012636154565442645	0.0017943339482928554	0.0012888877656751496	0.0012636154565442645	0.0017943339482928554
Chart	3	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	0.004455760661998727	0.004455760661998727	0.004455760661998727	0.004455760661998727	0.004455760661998727	0.004455760661998727	0.004455760661998727	0.004455760661998727	0.004455760661998727
Chart	4	285.0	280.0	241.0	285.0	280.0	241.0	285.0	280.0	241.0	0.006096126286068747	0.005989176702102629	0.005154969947166905	0.006096126286068747	0.005989176702102629	0.005154969947166905	0.006096126286068747	0.005989176702102629	0.005154969947166905
Chart	5	5.0	5.0	5.0	8.0	8.0	8.0	8.0	8.0	8.0	0.009541984732824428	0.009541984732824428	0.009541984732824428	0.015267175572519083	0.015267175572519083	0.015267175572519083	0.015267175572519083	0.015267175572519083	0.015267175572519083
Chart	6	30.0	29.0	29.0	30.0	29.0	29.0	30.0	29.0	29.0	0.027573529411764705	0.02665441176470588	0.02665441176470588	0.027573529411764705	0.02665441176470588	0.02665441176470588	0.027573529411764705	0.02665441176470588	0.02665441176470588
Chart	7	80.5	80.5	80.5	80.5	80.5	80.5	80.5	80.5	80.5	0.08572949946751864	0.08572949946751864	0.08572949946751864	0.08572949946751864	0.08572949946751864	0.08572949946751864	0.08572949946751864	0.08572949946751864	0.08572949946751864
Chart	8	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	0.03937007874015748	0.03937007874015748	0.03937007874015748	0.03937007874015748	0.03937007874015748	0.03937007874015748	0.03937007874015748	0.03937007874015748	0.03937007874015748
Chart	9	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	0.0051813471502590676	0.0051813471502590676	0.0051813471502590676	0.0051813471502590676	0.0051813471502590676	0.0051813471502590676	0.0051813471502590676	0.0051813471502590676	0.0051813471502590676
