project_id	bug_id	rank_mean_best	rank_min_best	rank_max_best	rank_best_case	Compare_SBFL_Better	Improvement_Case_MEANVSBESTCASE	spectra	tests	fail	pass	1_max	0_from_1_max	1_median	0_from_1_median	1_min	0_from_1_min
Chart	1	42	42	42	36	1	0	7057	428	1	427	629	6428	629	6428	629	6428
Chart	2	50	48	51	89.2	0	0	1328	349	2	347	130	1198	130	1198	129	1199
Chart	3	7	7	7	3.25	1	-6	840	49	1	48	143	697	143	697	143	697
Chart	4	285	280	241	167	1	-1	25163	425	22	403	1569	23594	950	24213	780	24383
Chart	5	5	5	5	5.75	0	6	284	126	1	125	51	233	51	233	51	233
Chart	6	30	29	29	57	0	0	676	479	2	477	127	549	127	549	39	637
Chart	7	80.5	80.5	80.5	61.66666667	1	0	481	15	1	14	123	358	123	358	123	358
Chart	8	15	15	15	9.5	1	-4	195	23	1	22	48	147	48	147	48	147
Chart	9	10	10	10	8.5	1	0	953	32	1	31	194	759	194	759	194	759
Chart	10	1	1	1	2.5	0	0	53	1	1	0	3	50	3	50	3	50
Chart	11	5	5	5	10	0	6	193	264	1	263	20	173	20	173	20	173
Chart	12	312	312	312	19.5	1	-1	4361	200	1	199	535	3826	535	3826	535	3826
Chart	13	21	21	21	44.5	0	0	886	139	1	138	264	622	264	622	264	622
Chart	14	5	5	8	16.2	0	5	6315	491	4	487	397	5918	386	5929	343	5972
Chart	15	16	16	16	31.66666667	0	0	12107	197	1	196	1120	10987	1120	10987	1120	10987
Chart	16	5	5	5	1	1	0	298	21	8	13	37	261	34	264	33	265
Chart	17	5	5	5	2	1	0	1074	49	1	48	99	975	99	975	99	975
Chart	18	3	3	4	4.5	0	0	392	241	4	237	85	307	59	333	29	363
Chart	19	1	1	1	2.333333333	0	0	4493	361	2	359	715	3778	715	3778	709	3784
Chart	20	11	11	11	6	1	-4	517	296	1	295	77	440	77	440	77	440
Chart	21	10	10	10	7.75	1	0	595	13	1	12	131	464	131	464	131	464
Chart	22	5	5	5	47.5	0	5	246	37	6	31	65	181	63	183	51	195
Chart	23	4420.5	4420.5	4420.5	6818.5	0	0	4655	5	1	4	281	4374	281	4374	281	4374
Chart	24	4	4	4	3	1	0	25	10	1	9	11	14	11	14	11	14
Chart	25	3	3	3	3442.25	0	3	10879	9	4	5	3179	7700	3174	7705	3160	7719
Chart	26	51	50	71	138.6666667	0	0	20672	539	22	517	3365	17307	2830	17842	2203	18469
Closure	1	142	142	123	130	1	0	30660	374	8	366	10063	20597	7318	23342	3291	27369
Closure	2	10	10	10	7.5	1	0	18608	6758	1	6757	3881	14727	3881	14727	3881	14727
Closure	3	2384	2384	2384	298.3333333	1	0	20874	358	3	355	4654	16220	4594	16280	4593	16281
Closure	4	2702.5	2702.5	2702.5	205	1	0	19139	6883	3	6880	5038	14101	5004	14135	4998	14141
Closure	5	58	58	58	165	0	0	17672	314	1	313	3612	14060	3612	14060	3612	14060
Closure	6	2	2	2	1	1	0	19060	6674	3	6671	4901	14159	4594	14466	4588	14472
Closure	7	13	12	12	1.5	1	-5	14936	6648	2	6646	2226	12710	2226	12710	1657	13279
Closure	8	1534.5	1534.5	1534.5	128.25	1	-1	16709	282	1	281	2980	13729	2980	13729	2980	13729
Closure	9	1	1	1	1	0	0	4614	117	1	116	35	4579	35	4579	35	4579
Closure	10	1599.5	1599.5	1599.5	163	1	-1	17397	6516	1	6515	3057	14340	3057	14340	3057	14340
Closure	11	2564.5	2564.5	2564.5	708	1	0	18402	6586	2	6584	4830	13572	4830	13572	4816	13586
Closure	12	2337	2337	2337	1153	1	0	20453	351	1	350	4582	15871	4582	15871	4582	15871
Closure	13	4156.5	4156.5	4156.5	6317.5	0	0	27615	608	1	607	8187	19428	8187	19428	8187	19428
Closure	14	96	131	38	1.5	1	-5	20214	3339	3	3336	4844	15370	1520	18694	1512	18702
Closure	15	60.5	60.5	60.5	199.3333333	0	0	19998	333	1	332	4146	15852	4146	15852	4146	15852
Closure	16	170	157.5	169	103.8	1	0	22482	390	2	388	7131	15351	7131	15351	3498	18984
Closure	17	10	10	10	3	1	-6	18240	6539	1	6538	5072	13168	5072	13168	5072	13168
Closure	18	2397	2397	2397	2640	0	0	20040	6541	1	6540	4652	15388	4652	15388	4652	15388
Closure	19	6	6	6	1.5	1	-6	18064	6538	1	6537	3888	14176	3888	14176	3888	14176
Closure	20	1533.5	1533.5	1533.5	20	1	-1	17721	369	1	368	2963	14758	2963	14758	2963	14758
Closure	21	7	7	7	2	1	-6	17270	6529	1	6528	3237	14033	3237	14033	3237	14033
Closure	22	1	1	1	1.5	0	0	17273	6529	1	6528	3237	14036	3237	14036	3237	14036
Closure	23	67	67	67	6	1	-4	17254	372	1	371	2460	14794	2460	14794	2460	14794
Closure	24	3	3	3	1	1	0	15603	380	1	379	2854	12749	2854	12749	2854	12749
Closure	25	71	71	71	111	0	0	17919	2896	1	2895	3961	13958	3961	13958	3961	13958
Closure	26	20	18	24	17.33333333	1	0	28352	6489	7	6482	7918	20434	3045	25307	2991	25361
Closure	27	1	1	1	4	0	0	1138	6849	3	6846	43	1095	41	1097	10	1128
Closure	28	20303	20303	20303	28722.5	0	0	18362	671	2	669	3790	14572	3790	14572	1367	16995
Closure	29	5027	5027	5027	376	1	0	31078	291	5	286	9494	21584	3846	27232	3696	27382
Closure	30	81	75	89	237	0	1	19737	337	3	334	4164	15573	4022	15715	3858	15879
Closure	31	1710.5	1710.5	1710.5	2159.5	0	0	19144	6438	1	6437	3301	15843	3301	15843	3301	15843
Closure	32	72	108	50	25	1	0	19654	5082	4	5078	4287	15367	1157	18497	1141	18513
Closure	33	2802.5	2802.5	2802.5	348.5	1	0	18064	7221	1	7220	5435	12629	5435	12629	5435	12629
Closure	34	28	28	28	7.5	1	-4	3754	4012	1	4011	157	3597	157	3597	157	3597
Closure	35	26	26	26	7	1	-4	18011	2821	1	2820	5276	12735	5276	12735	5276	12735
Closure	36	4903.5	4903.5	4903.5	1145.75	1	0	29936	384	1	383	9702	20234	9702	20234	9702	20234
Closure	37	1205.5	1205.5	1205.5	1106.5	1	0	19038	6543	1	6542	2320	16718	2320	16718	2320	16718
Closure	38	772	772	772	57.5	1	-1	13637	4007	1	4006	1422	12215	1422	12215	1422	12215
Closure	39	4	4	4	6	0	6	3400	7113	2	7111	765	2635	765	2635	757	2643
Closure	40	2824.5	2824.5	2824.5	133.6666667	1	-1	20529	522	2	520	4874	15655	4874	15655	4133	16396
Closure	41	2571	2571	2571	461	1	0	17654	6362	3	6359	4925	12729	4887	12767	4885	12769
Closure	42	11	11	11	1.166666667	1	-5	4172	6252	1	6251	1088	3084	1088	3084	1088	3084
Closure	43	2734	2734	2734	248.5	1	0	17639	6221	2	6219	5211	12428	5211	12428	5171	12468
Closure	44	781	781	781	239	1	0	13081	3831	1	3830	1465	11616	1465	11616	1465	11616
Closure	45	1791	1791	1791	188	1	-1	16358	177	1	176	3475	12883	3475	12883	3475	12883
Closure	46	2	5	2	1	1	0	3515	3217	3	3214	1035	2480	1017	2498	853	2662
Closure	47	2325.5	2325.5	2325.5	290.6666667	1	0	18443	6218	16	6202	3999	14444	3591	14852	3284	15159
Closure	48	178	178	178	159	1	0	16816	6196	1	6195	4745	12071	4745	12071	4745	12071
Closure	49	168	155	99	1209	0	1	18886	1841	66	1775	4568	14318	4082	14804	2956	15930
Closure	50	60	60	64	84	0	0	15933	101	2	99	2774	13159	2774	13159	2724	13209
Closure	51	17	17	17	57.5	0	0	13042	3823	1	3822	1386	11656	1386	11656	1386	11656
Closure	52	7	7	7	15	0	4	13038	3803	1	3802	1460	11578	1460	11578	1460	11578
Closure	53	1642.5	1642.5	1642.5	52.5	1	-1	16247	116	1	115	3201	13046	3201	13046	3201	13046
Closure	54	62	55	71	27	1	0	19685	6965	3	6962	5048	14637	5038	14647	4947	14738
Closure	55	1554	1554	1554	364	1	0	18181	96	1	95	3019	15162	3019	15162	3019	15162
Closure	56	2	8	1	45	0	5	11788	6086	3	6083	1205	10583	1202	10586	813	10975
Closure	57	4	4	4	5	0	0	12122	6063	1	6062	1276	10846	1276	10846	1276	10846
Closure	58	14	14	14	5.5	1	-4	14454	177	1	176	2489	11965	2489	11965	2489	11965
Closure	59	4461	4461	4461	9286	0	0	27197	6042	1	6041	8733	18464	8733	18464	8733	18464
Closure	60	8	14	2	14	0	4	29682	5994	2	5992	7766	21916	7766	21916	1285	28397
Closure	61	1282	1282	1282	86	1	-1	15267	5987	3	5984	2553	12714	2503	12764	2466	12801
Closure	62	1	1	1	3	0	0	171	6023	2	6021	74	97	74	97	74	97
Closure	63	1	1	1	3	0	0	171	6023	2	6021	74	97	74	97	74	97
Closure	64	3113.5	3113.5	3113.5	1531.5	1	0	25026	6004	1	6003	6078	18948	6078	18948	6078	18948
Closure	65	1	1	1	1	0	0	12583	3732	1	3731	1360	11223	1360	11223	1360	11223
Closure	66	1759	1759	1759	301	1	0	16496	5985	2	5983	3373	13123	3373	13123	2946	13550
Closure	67	1597	1597	1597	233.3333333	1	0	15181	134	1	133	3084	12097	3084	12097	3084	12097
Closure	68	7	7	7	3	1	-6	5747	4595	1	4594	1078	4669	1078	4669	1078	4669
Closure	69	140	169	22	224.3333333	0	1	16672	5985	3	5982	4955	11717	4554	12118	4297	12375
Closure	70	2507.5	2507.5	2507.5	431	1	0	17085	5968	5	5963	4488	12597	4266	12819	3869	13216
Closure	71	2375.5	2375.5	2375.5	70	1	-1	16849	5924	2	5922	4461	12388	4461	12388	4204	12645
Closure	72	1826	1826	1826	253.25	1	0	16690	420	1	419	3551	13139	3551	13139	3551	13139
Closure	73	9	9	9	21	0	4	12241	3600	1	3599	1343	10898	1343	10898	1343	10898
Closure	74	59	62	37	39.33333333	1	0	15229	170	3	167	2544	12685	2406	12823	1713	13516
Closure	75	1	1	1	6.5	0	6	14787	5764	1	5763	2399	12388	2399	12388	2399	12388
Closure	76	44	39.5	48	121	0	0	14809	107	4	103	3136	11673	3135	11674	3087	11722
Closure	77	36	36	36	20.5	1	0	12135	3476	1	3475	1288	10847	1288	10847	1288	10847
Closure	78	3	3	3	1.5	1	0	14660	156	1	155	2474	12186	2474	12186	2474	12186
Closure	79	35	44	16	41.66666667	0	0	14717	5675	5	5670	2325	12392	2314	12403	2104	12613
Closure	80	5	4	7	30	0	5	11085	5634	2	5632	1312	9773	1312	9773	1148	9937
Closure	81	16	16	16	20.5	0	0	4450	5697	1	5696	952	3498	952	3498	952	3498
Closure	82	2175.5	2175.5	2175.5	763	1	0	15552	6358	2	6356	4382	11170	4382	11170	692	14860
Closure	83	91.5	91.5	91.5	10	1	-4	22131	53	1	52	179	21952	179	21952	179	21952
Closure	84	9	9	9	36.33333333	0	4	4420	5543	1	5542	963	3457	963	3457	963	3457
Closure	85	69	70	66	173.5	0	0	13600	77	2	75	2590	11010	2590	11010	2539	11061
Closure	86	16	73	13	2	1	-5	17929	5374	7	5367	5741	12188	5584	12345	1021	16908
Closure	87	1293.5	1293.5	1293.5	165.3333333	1	-1	13272	112	1	111	2481	10791	2481	10791	2481	10791
Closure	88	66	56	55	71.5	0	0	23074	92	7	85	6916	16158	2926	20148	2900	20174
Closure	89	67	147.5	55	171.5	0	0	16418	443	8	435	3521	12897	3304	13114	3263	13155
Closure	90	2321	2321	2321	22.5	1	-1	15465	6033	2	6031	4447	11018	4447	11018	4436	11029
Closure	91	1228	1228	1228	319.5	1	0	14271	96	1	95	2343	11928	2343	11928	2343	11928
Closure	92	1314.5	1314.5	1314.5	92.5	1	-1	12632	1807	1	1806	2527	10105	2527	10105	2527	10105
Closure	93	1314	1314	1314	92.5	1	-1	12615	1800	1	1799	2527	10088	2527	10088	2527	10088
Closure	94	8	11	4	1	1	-6	13776	5157	3	5154	2516	11260	2509	11267	1024	12752
Closure	95	2471.5	2471.5	2471.5	1853	1	0	17020	2285	2	2283	4290	12730	4290	12730	4100	12920
Closure	96	37	37	37	23	1	0	15047	5083	1	5082	4019	11028	4019	11028	4019	11028
Closure	97	33.5	33.5	33.5	16.5	1	0	12549	82	1	81	2107	10442	2107	10442	2107	10442
Closure	98	1510.5	1510.5	1510.5	473.5	1	0	14309	373	1	372	2900	11409	2900	11409	2900	11409
Closure	99	43	65	17	14	1	0	12421	75	3	72	2191	10230	1865	10556	1803	10618
Closure	100	41	38	38	41	0	0	12409	71	9	62	1863	10546	1813	10596	1684	10725
Closure	101	2719.5	2719.5	2719.5	3696	0	0	24668	21	1	20	5350	19318	5350	19318	5350	19318
Closure	102	3547	3547	3547	5468.5	0	0	24319	778	1	777	7000	17319	7000	17319	7000	17319
Closure	103	17	17	20	292	0	1	17204	1488	3	1485	4217	12987	2152	15052	1632	15572
Closure	104	9	9	9	6	1	0	2902	4350	1	4349	665	2237	665	2237	665	2237
Closure	105	40.5	40.5	40.5	41.5	0	0	12688	106	1	105	2175	10513	2175	10513	2175	10513
Closure	106	26.5	24	26.5	112	0	0	12412	1209	4	1205	2868	9544	2824	9588	1930	10482
Closure	107	69	69	69	195.5	0	0	34974	115	1	114	5358	29616	5358	29616	5358	29616
Closure	108	53	53	53	269.2857143	0	1	21484	452	1	451	3784	17700	3784	17700	3784	17700
Closure	109	5	5	5	7	0	6	6408	6099	2	6097	1284	5124	1284	5124	1268	5140
Closure	110	34	34	34	2	1	-5	21398	8112	2	8110	3012	18386	3012	18386	2987	18411
Closure	111	4	4	4	1	1	0	16561	2498	1	2497	2366	14195	2366	14195	2366	14195
Closure	112	130	176	65	112	1	0	20294	3222	2	3220	6093	14201	6093	14201	5902	14392
Closure	113	8	8	8	16.5	0	4	17856	2642	1	2641	3009	14847	3009	14847	3009	14847
Closure	114	90	90	90	227	0	1	20270	638	1	637	4127	16143	4127	16143	4127	16143
Closure	115	3	5	7	12	0	5	20760	693	7	686	4990	15770	4648	16112	4094	16666
Closure	116	39	44	46	14	1	0	23321	696	8	688	5663	17658	4647	18674	1536	21785
Closure	117	153	153	153	107	1	0	20248	7149	1	7148	5725	14523	5725	14523	5725	14523
Closure	118	3291.5	3291.5	3291.5	3.5	1	-3	23406	7142	2	7140	6405	17001	6405	17001	6180	17226
Closure	119	22502	22502	22502	32536	0	0	20864	912	1	911	3452	17412	3452	17412	3452	17412
Closure	120	2042.5	2042.5	2042.5	157	1	-1	19349	7134	1	7133	3877	15472	3877	15472	3877	15472
Closure	121	90	90	90	436	0	1	19336	461	1	460	3862	15474	3862	15474	3862	15474
Closure	122	3	3	3	2	1	0	5063	7167	3	7164	1152	3911	1152	3911	1152	3911
Closure	123	98	98	98	50.5	1	0	15501	4492	1	4491	1967	13534	1967	13534	1967	13534
Closure	124	18	18	18	13.33333333	1	0	18361	316	1	315	2938	15423	2938	15423	2938	15423
Closure	125	95	95	95	205.5	0	1	19622	7061	1	7060	5765	13857	5765	13857	5765	13857
Closure	126	1731.5	1731.5	1731.5	24.33333333	1	-1	17191	318	2	316	3307	13884	3307	13884	2995	14196
Closure	127	1979.5	1979.5	1979.5	201.5	1	0	17611	336	6	330	3553	14058	3522	14089	3342	14269
Closure	128	2	2	2	11	0	5	14401	4283	1	4282	1580	12821	1580	12821	1580	12821
Closure	129	3537.5	3537.5	3537.5	4260	0	0	28573	6782	1	6781	6915	21658	6915	21658	6915	21658
Closure	130	2090.5	2090.5	2090.5	606	1	0	20436	577	1	576	4095	16341	4095	16341	4095	16341
Closure	131	94	83	84	143.5	0	0	17181	2987	2	2985	2848	14333	2848	14333	2740	14441
Closure	132	1623.5	1623.5	1623.5	89.5	1	-1	17848	396	1	395	3146	14702	3146	14702	3146	14702
Closure	133	716	716	716	145	1	-1	6176	5493	1	5492	1328	4848	1328	4848	1328	4848
Lang	1	3	3	3	1.75	1	0	1731	88	1	87	38	1693	38	1693	38	1693
Lang	2	16	16	16	16	0	0	93	14	1	13	29	64	29	64	29	64
Lang	3	8	8	8	3	1	-6	1723	87	1	86	56	1667	56	1667	56	1667
Lang	4	13	13	13	2.5	1	-5	63	31	1	30	23	40	23	40	23	40
Lang	5	1	1	1	1	0	0	79	13	1	12	16	63	16	63	16	63
Lang	6	72	72	72	390.5	0	1	2817	130	1	129	130	2687	130	2687	130	2687
Lang	7	22.5	22.5	22.5	83	0	0	1847	82	1	81	217	1630	217	1630	217	1630
