project_id	bug_id	temp_len	sloc	sloc_total	buggy_line	is_omission	is_not_found	shap_max	shap_min	shap_mean	buggy_line_max	buggy_line_min	buggy_line_mean
Chart	1	629	13269	96382	org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797	0	0	42	42	42			
Chart	2	162	2515	96344	org.jfree.data.general.DatasetUtilities#755	1	0	51	48	50	org.jfree.data.general.DatasetUtilities#757	org.jfree.data.general.DatasetUtilities#757	org.jfree.data.general.DatasetUtilities#757
Chart	2	162	2515	96344	org.jfree.data.general.DatasetUtilities#757	1	0	51	48	50	org.jfree.data.general.DatasetUtilities#757	org.jfree.data.general.DatasetUtilities#757	org.jfree.data.general.DatasetUtilities#757
Chart	2	162	2515	96344	org.jfree.data.general.DatasetUtilities#761	1	0	115.5	115.5	115.5	org.jfree.data.general.DatasetUtilities#760	org.jfree.data.general.DatasetUtilities#760	org.jfree.data.general.DatasetUtilities#760
Chart	2	162	2515	96344	org.jfree.data.general.DatasetUtilities#1242	1	0	115.5	115.5	115.5	org.jfree.data.general.DatasetUtilities#1242	org.jfree.data.general.DatasetUtilities#1242	org.jfree.data.general.DatasetUtilities#1242
Chart	2	162	2515	96344	org.jfree.data.general.DatasetUtilities#1244	1	0	115.5	115.5	115.5	org.jfree.data.general.DatasetUtilities#1244	org.jfree.data.general.DatasetUtilities#1244	org.jfree.data.general.DatasetUtilities#1244
Chart	2	162	2515	96344	org.jfree.data.general.DatasetUtilities#1248	1	0	115.5	115.5	115.5	org.jfree.data.general.DatasetUtilities#1247	org.jfree.data.general.DatasetUtilities#1247	org.jfree.data.general.DatasetUtilities#1247
Chart	3	143	1571	96317	org.jfree.data.time.TimeSeries#1057	1	0	7	7	7	org.jfree.data.time.TimeSeries#1058	org.jfree.data.time.TimeSeries#1058	org.jfree.data.time.TimeSeries#1058
Chart	4	2371	46751	94583	org.jfree.chart.plot.XYPlot#4493	1	0	241	280	285	org.jfree.chart.plot.XYPlot#4493	org.jfree.chart.plot.XYPlot#4493	org.jfree.chart.plot.XYPlot#4493
Chart	4	2371	46751	94583	org.jfree.chart.plot.XYPlot#4501	1	0	241	280	285	org.jfree.chart.plot.XYPlot#4493	org.jfree.chart.plot.XYPlot#4493	org.jfree.chart.plot.XYPlot#4493
Lang	1	38	2880	21779	org.apache.commons.lang3.math.NumberUtils#468	0	0	3	3	3			
Lang	1	38	2880	21779	org.apache.commons.lang3.math.NumberUtils#471	0	0	7	7	7			
Lang	1	38	2880	21779	org.apache.commons.lang3.math.NumberUtils#467	1	0	6	6	6	org.apache.commons.lang3.math.NumberUtils#467	org.apache.commons.lang3.math.NumberUtils#467	org.apache.commons.lang3.math.NumberUtils#467
Lang	10	268	1458	20442	org.apache.commons.lang3.time.FastDateParser#304	0	0	161	161	161			
Lang	10	268	1458	20442	org.apache.commons.lang3.time.FastDateParser#307	0	0	161	161	161			
Lang	10	268	1458	20442	org.apache.commons.lang3.time.FastDateParser#308	0	0	34	57	43			
Lang	10	268	1458	20442	org.apache.commons.lang3.time.FastDateParser#309	0	0	161	161	161			
Lang	10	268	1458	20442	org.apache.commons.lang3.time.FastDateParser#310	0	0	161	161	161			
Lang	10	268	1458	20442	org.apache.commons.lang3.time.FastDateParser#311	1	0	34	57	43	org.apache.commons.lang3.time.FastDateParser#308	org.apache.commons.lang3.time.FastDateParser#308	org.apache.commons.lang3.time.FastDateParser#308
Lang	10	268	1458	20442	org.apache.commons.lang3.time.FastDateParser#313	1	0	34	57	43	org.apache.commons.lang3.time.FastDateParser#308	org.apache.commons.lang3.time.FastDateParser#308	org.apache.commons.lang3.time.FastDateParser#308
Lang	10	268	1458	20442	org.apache.commons.lang3.time.FastDateParser#314	0	0	161	161	161			
Lang	11	11	105	20342	org.apache.commons.lang3.RandomStringUtils#245	1	0	1	1	1	org.apache.commons.lang3.RandomStringUtils#234	org.apache.commons.lang3.RandomStringUtils#234	org.apache.commons.lang3.RandomStringUtils#234
Lang	12	17	98	20335	org.apache.commons.lang3.RandomStringUtils#230	1	0	6	9	8	org.apache.commons.lang3.RandomStringUtils#231	org.apache.commons.lang3.RandomStringUtils#231	org.apache.commons.lang3.RandomStringUtils#231
Lang	12	17	98	20335	org.apache.commons.lang3.RandomStringUtils#232	1	0	6	7	6	org.apache.commons.lang3.RandomStringUtils#231	org.apache.commons.lang3.RandomStringUtils#232	org.apache.commons.lang3.RandomStringUtils#232
Lang	12	17	98	20335	org.apache.commons.lang3.RandomStringUtils#238	1	0	6	7	6	org.apache.commons.lang3.RandomStringUtils#231	org.apache.commons.lang3.RandomStringUtils#232	org.apache.commons.lang3.RandomStringUtils#232
Lang	13	29	127	20224	org.apache.commons.lang3.SerializationUtils#252	0	0	8	8	8	org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream#252	org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream#252	org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream#252
Lang	13	29	127	20224	org.apache.commons.lang3.SerializationUtils#268	1	0	3	3	3	org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream#267	org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream#267	org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream#267
Lang	13	29	127	20224	org.apache.commons.lang3.SerializationUtils#269	1	0	3	3	3	org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream#267	org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream#267	org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream#267
Lang	14	5	2176	19630	org.apache.commons.lang3.StringUtils#788	1	0	1	1	1	org.apache.commons.lang3.StringUtils#788	org.apache.commons.lang3.StringUtils#788	org.apache.commons.lang3.StringUtils#788
Lang	14	5	2176	19630	org.apache.commons.lang3.StringUtils#789	1	0	1	1	1	org.apache.commons.lang3.StringUtils#788	org.apache.commons.lang3.StringUtils#788	org.apache.commons.lang3.StringUtils#788
Lang	15	420	4001	19511	org.apache.commons.lang3.reflect.TypeUtils#219	0	0	417	417	417			
Lang	15	420	4001	19511	org.apache.commons.lang3.reflect.TypeUtils#220	0	0	403	403	403			
Lang	15	420	4001	19511	org.apache.commons.lang3.reflect.TypeUtils#221	0	0	411	411	411			
Lang	15	420	4001	19511	org.apache.commons.lang3.reflect.TypeUtils#675	0	0	250.5	250.5	250.5			
Lang	16	100	2927	19873	org.apache.commons.lang3.math.NumberUtils#458	0	0	8	8	8			
Lang	17	131	2497	18999	org.apache.commons.lang3.text.translate.CharSequenceTranslator#83	0	0	105.5	105.5	105.5			
Lang	17	131	2497	18999	org.apache.commons.lang3.text.translate.CharSequenceTranslator#102	0	0	105.5	105.5	105.5			
Lang	17	131	2497	18999	org.apache.commons.lang3.text.translate.CharSequenceTranslator#89	1	0	19	19	19	org.apache.commons.lang3.text.translate.CharSequenceTranslator#87	org.apache.commons.lang3.text.translate.CharSequenceTranslator#87	org.apache.commons.lang3.text.translate.CharSequenceTranslator#87
Lang	18	276	1007	18997	org.apache.commons.lang3.time.FastDateFormat#495	0	0	168.5	168.5	168.5			
Lang	18	276	1007	18997	org.apache.commons.lang3.time.FastDateFormat#496	0	0	168.5	168.5	168.5			
Lang	18	276	1007	18997	org.apache.commons.lang3.time.FastDateFormat#497	1	0	168.5	168.5	168.5	org.apache.commons.lang3.time.FastDateFormat#495	org.apache.commons.lang3.time.FastDateFormat#495	org.apache.commons.lang3.time.FastDateFormat#495
Lang	18	276	1007	18997	org.apache.commons.lang3.time.FastDateFormat#499	1	0	46	46	46	org.apache.commons.lang3.time.FastDateFormat#498	org.apache.commons.lang3.time.FastDateFormat#498	org.apache.commons.lang3.time.FastDateFormat#498
Lang	19	26	116	18970	org.apache.commons.lang3.text.translate.NumericEntityUnescaper#40	0	0	16	16	16			
Lang	19	26	116	18970	org.apache.commons.lang3.text.translate.NumericEntityUnescaper#54	0	0	9	9	9			
Lang	19	26	116	18970	org.apache.commons.lang3.text.translate.NumericEntityUnescaper#50	1	0	6	5	6	org.apache.commons.lang3.text.translate.NumericEntityUnescaper#47	org.apache.commons.lang3.text.translate.NumericEntityUnescaper#47	org.apache.commons.lang3.text.translate.NumericEntityUnescaper#47
Lang	2	29	161	21748	org.apache.commons.lang3.LocaleUtils#92	1	0	16	16	16	org.apache.commons.lang3.LocaleUtils#89	org.apache.commons.lang3.LocaleUtils#89	org.apache.commons.lang3.LocaleUtils#89
Lang	20	48	2103	18967	org.apache.commons.lang3.StringUtils#3298	0	0	15	15	15			
Lang	20	48	2103	18967	org.apache.commons.lang3.StringUtils#3383	0	0	4	4	4			
Lang	22	69	437	18870	org.apache.commons.lang3.math.Fraction#584	0	0	27	26	26			
Lang	22	69	437	18870	org.apache.commons.lang3.math.Fraction#583	1	0	27	26	26	org.apache.commons.lang3.math.Fraction#584	org.apache.commons.lang3.math.Fraction#584	org.apache.commons.lang3.math.Fraction#584
Lang	23	135	836	18802	org.apache.commons.lang3.text.ExtendedMessageFormat#73	0	0	26	26	26	org.apache.commons.lang3.text.ExtendedMessageFormat#173	org.apache.commons.lang3.text.ExtendedMessageFormat#173	org.apache.commons.lang3.text.ExtendedMessageFormat#173
Lang	24	160	2653	18777	org.apache.commons.lang3.math.NumberUtils#1413	0	0	111	111	111			
Lang	25	16	293	18775	org.apache.commons.lang3.text.translate.EntityArrays#74	1	0	9	9	9	org.apache.commons.lang3.text.translate.EntityArrays#374	org.apache.commons.lang3.text.translate.EntityArrays#374	org.apache.commons.lang3.text.translate.EntityArrays#374
Lang	25	16	293	18775	org.apache.commons.lang3.text.translate.EntityArrays#75	0	0	9	9	9	org.apache.commons.lang3.text.translate.EntityArrays#375	org.apache.commons.lang3.text.translate.EntityArrays#375	org.apache.commons.lang3.text.translate.EntityArrays#375
Lang	25	16	293	18775	org.apache.commons.lang3.text.translate.EntityArrays#77	0	0	9	9	9	org.apache.commons.lang3.text.translate.EntityArrays#377	org.apache.commons.lang3.text.translate.EntityArrays#377	org.apache.commons.lang3.text.translate.EntityArrays#377
Lang	26	130	832	18452	org.apache.commons.lang3.time.FastDateFormat#820	0	0	11	11	11			
Lang	27	216	2849	18382	org.apache.commons.lang3.math.NumberUtils#479	0	0	24	24	24			
Lang	27	216	2849	18382	org.apache.commons.lang3.math.NumberUtils#489	1	0	141	141	141	org.apache.commons.lang3.math.NumberUtils#489	org.apache.commons.lang3.math.NumberUtils#489	org.apache.commons.lang3.math.NumberUtils#489
Lang	28	31	107	17806	org.apache.commons.lang3.text.translate.NumericEntityUnescaper#63	1	0	1	1	1	org.apache.commons.lang3.text.translate.NumericEntityUnescaper#63	org.apache.commons.lang3.text.translate.NumericEntityUnescaper#63	org.apache.commons.lang3.text.translate.NumericEntityUnescaper#63
Lang	28	31	107	17806	org.apache.commons.lang3.text.translate.NumericEntityUnescaper#64	1	0	1	1	1	org.apache.commons.lang3.text.translate.NumericEntityUnescaper#63	org.apache.commons.lang3.text.translate.NumericEntityUnescaper#63	org.apache.commons.lang3.text.translate.NumericEntityUnescaper#63
Lang	3	56	2870	21713	org.apache.commons.lang3.math.NumberUtils#593	1	0	8	8	8	org.apache.commons.lang3.math.NumberUtils#593	org.apache.commons.lang3.math.NumberUtils#593	org.apache.commons.lang3.math.NumberUtils#593
Lang	3	56	2870	21713	org.apache.commons.lang3.math.NumberUtils#597	1	0	8	8	8	org.apache.commons.lang3.math.NumberUtils#593	org.apache.commons.lang3.math.NumberUtils#593	org.apache.commons.lang3.math.NumberUtils#593
Lang	30	72	3678	17622	org.apache.commons.lang3.StringUtils#1455	0	0	40	35	37			
Lang	30	72	3678	17622	org.apache.commons.lang3.StringUtils#1576	0	0	4	3	3			
Lang	30	72	3678	17622	org.apache.commons.lang3.StringUtils#1376	0	0	71	71	71			
Lang	30	72	3678	17622	org.apache.commons.lang3.StringUtils#1377	0	0	66	65	66			
Lang	30	72	3678	17622	org.apache.commons.lang3.StringUtils#1381	1	0	61.5	52	61.5	org.apache.commons.lang3.StringUtils#1382	org.apache.commons.lang3.StringUtils#1382	org.apache.commons.lang3.StringUtils#1382
Lang	30	72	3678	17622	org.apache.commons.lang3.StringUtils#1382	1	0	61.5	52	61.5	org.apache.commons.lang3.StringUtils#1382	org.apache.commons.lang3.StringUtils#1382	org.apache.commons.lang3.StringUtils#1382
Lang	30	72	3678	17622	org.apache.commons.lang3.StringUtils#1383	1	0	61.5	52	61.5	org.apache.commons.lang3.StringUtils#1382	org.apache.commons.lang3.StringUtils#1382	org.apache.commons.lang3.StringUtils#1382
Lang	30	72	3678	17622	org.apache.commons.lang3.StringUtils#1533	0	0	25	23	23			
Lang	30	72	3678	17622	org.apache.commons.lang3.StringUtils#1539	1	0	28	24	26	org.apache.commons.lang3.StringUtils#1539	org.apache.commons.lang3.StringUtils#1539	org.apache.commons.lang3.StringUtils#1539
Lang	30	72	3678	17622	org.apache.commons.lang3.StringUtils#1540	1	0	28	24	26	org.apache.commons.lang3.StringUtils#1539	org.apache.commons.lang3.StringUtils#1539	org.apache.commons.lang3.StringUtils#1539
Lang	30	72	3678	17622	org.apache.commons.lang3.StringUtils#1578	1	0	4	3	3	org.apache.commons.lang3.StringUtils#1576	org.apache.commons.lang3.StringUtils#1576	org.apache.commons.lang3.StringUtils#1576
Lang	30	72	3678	17622	org.apache.commons.lang3.StringUtils#1678	0	0	9	10	10			
Lang	30	72	3678	17622	org.apache.commons.lang3.StringUtils#1679	0	0	18	22	20			
Lang	30	72	3678	17622	org.apache.commons.lang3.StringUtils#1683	1	0	2	2	2	org.apache.commons.lang3.StringUtils#1685	org.apache.commons.lang3.StringUtils#1685	org.apache.commons.lang3.StringUtils#1685
Lang	30	72	3678	17622	org.apache.commons.lang3.StringUtils#1684	1	0	2	2	2	org.apache.commons.lang3.StringUtils#1685	org.apache.commons.lang3.StringUtils#1685	org.apache.commons.lang3.StringUtils#1685
Lang	30	72	3678	17622	org.apache.commons.lang3.StringUtils#1686	1	0	2	2	2	org.apache.commons.lang3.StringUtils#1685	org.apache.commons.lang3.StringUtils#1685	org.apache.commons.lang3.StringUtils#1685
Lang	31	32	3663	17591	org.apache.commons.lang3.StringUtils#1446	0	0	5	5	5			
Lang	31	32	3663	17591	org.apache.commons.lang3.StringUtils#1450	1	0	8	8	8	org.apache.commons.lang3.StringUtils#1449	org.apache.commons.lang3.StringUtils#1449	org.apache.commons.lang3.StringUtils#1449
Lang	31	32	3663	17591	org.apache.commons.lang3.StringUtils#1451	1	0	8	8	8	org.apache.commons.lang3.StringUtils#1449	org.apache.commons.lang3.StringUtils#1449	org.apache.commons.lang3.StringUtils#1449
Lang	31	32	3663	17591	org.apache.commons.lang3.StringUtils#1453	1	0	8	8	8	org.apache.commons.lang3.StringUtils#1449	org.apache.commons.lang3.StringUtils#1449	org.apache.commons.lang3.StringUtils#1449
Lang	32	77	2079	17301	org.apache.commons.lang3.builder.HashCodeBuilder#104	0	0	40.5	40.5	40.5			
Lang	32	77	2079	17301	org.apache.commons.lang3.builder.HashCodeBuilder#107	0	0	4	4	4	org.apache.commons.lang3.builder.HashCodeBuilder$1#107	org.apache.commons.lang3.builder.HashCodeBuilder$1#107	org.apache.commons.lang3.builder.HashCodeBuilder$1#107
Lang	32	77	2079	17301	org.apache.commons.lang3.builder.HashCodeBuilder#152	0	0	40.5	40.5	40.5			
Lang	32	77	2079	17301	org.apache.commons.lang3.builder.HashCodeBuilder#538	0	0	40.5	40.5	40.5			
